Firstname, Lastname, Date, WorkingHours
Geo, Taylor, 2024-08-31, 1.7769
Geo, Taylor, 2024-08-30, 2.7189
Geo, Taylor, 2024-08-29, 2.1458
Geo, Taylor, 2024-08-28, 0.8969
Geo, Taylor, 2024-08-27, 3.5064
Geo, Taylor, 2024-08-26, 0.7458
Geo, Taylor, 2024-08-25, 0.6625
Geo, Taylor, 2024-08-24, 3.5172
Geo, Taylor, 2024-08-23, 2.8817
Geo, Taylor, 2024-08-22, 1.7900
Geo, Taylor, 2024-08-21, 0.4719
Geo, Taylor, 2024-08-20, 5.7328
Geo, Taylor, 2024-08-19, 1.4375
Geo, Taylor, 2024-08-18, 0.5758
Alex, Jones, 2024-08-31, 3.7967
Alex, Jones, 2024-08-30, 4.4489
Alex, Jones, 2024-08-29, 3.5011
Alex, Jones, 2024-08-28, 0.5311
Alex, Jones, 2024-08-27, 2.2794
Alex, Jones, 2024-08-26, 7.3503
Alex, Jones, 2024-08-25, 6.6286
Alex, Jones, 2024-08-24, 4.6164
Alex, Jones, 2024-08-23, 4.1367
Alex, Jones, 2024-08-22, 4.3791
Alex, Jones, 2024-08-21, 6.6864
Alex, Jones, 2024-08-20, 6.4822
Alex, Jones, 2024-08-19, 7.6125
Alex, Jones, 2024-08-18, 11.1697
Firicel, Carutasu, 2024-08-31, 2.5583
Firicel, Carutasu, 2024-08-30, 10.0020
Firicel, Carutasu, 2024-08-29, 3.6075
Firicel, Carutasu, 2024-08-28, 9.9636
Firicel, Carutasu, 2024-08-27, 7.0973
Firicel, Carutasu, 2024-08-26, 6.7780
Firicel, Carutasu, 2024-08-25, 5.1861
Firicel, Carutasu, 2024-08-24, 6.9436
Firicel, Carutasu, 2024-08-23, 9.6581
Firicel, Carutasu, 2024-08-22, 5.0361
Firicel, Carutasu, 2024-08-21, 6.1372
Firicel, Carutasu, 2024-08-20, 12.1528
Firicel, Carutasu, 2024-08-19, 7.6983
Firicel, Carutasu, 2024-08-18, 10.0197
Olivia, Brown, 2024-08-31, 8.0703
Olivia, Brown, 2024-08-30, 3.1105
Olivia, Brown, 2024-08-29, 3.2539
Olivia, Brown, 2024-08-28, 1.7195
Olivia, Brown, 2024-08-27, 6.7320
Olivia, Brown, 2024-08-26, 5.2342
Olivia, Brown, 2024-08-25, 4.0839
Olivia, Brown, 2024-08-24, 7.2983
Olivia, Brown, 2024-08-23, 6.9878
Olivia, Brown, 2024-08-22, 2.3828
Olivia, Brown, 2024-08-21, 3.9703
Olivia, Brown, 2024-08-20, 7.0922
Olivia, Brown, 2024-08-19, 3.2425
Olivia, Brown, 2024-08-18, 3.1261
Ana, Wilson, 2024-08-31, 5.8789
Ana, Wilson, 2024-08-30, 2.5128
Ana, Wilson, 2024-08-29, 1.4208
Ana, Wilson, 2024-08-28, 2.7803
Ana, Wilson, 2024-08-27, 3.7222
Ana, Wilson, 2024-08-26, 0.3433
Ana, Wilson, 2024-08-25, 2.6781
Ana, Wilson, 2024-08-24, 2.3750
Ana, Wilson, 2024-08-23, 1.9642
Ana, Wilson, 2024-08-22, 3.2192
Ana, Wilson, 2024-08-21, 3.4586
Ana, Wilson, 2024-08-20, 1.6678
Ana, Wilson, 2024-08-19, 2.6242
Ana, Wilson, 2024-08-18, 0.2933
Olivia, Silca, 2024-08-31, 0.8317
Olivia, Silca, 2024-08-30, 1.2408
Olivia, Silca, 2024-08-29, 1.4225
Olivia, Silca, 2024-08-28, 0.3950
Olivia, Silca, 2024-08-27, 1.7739
Olivia, Silca, 2024-08-26, 4.6833
Olivia, Silca, 2024-08-25, 0.3422
Olivia, Silca, 2024-08-24, 3.5656
Olivia, Silca, 2024-08-23, 2.9861
Olivia, Silca, 2024-08-22, 3.5831
Olivia, Silca, 2024-08-21, 2.0028
Olivia, Silca, 2024-08-20, 3.3217
Olivia, Silca, 2024-08-19, 1.6142
Olivia, Silca, 2024-08-18, 3.7894
David, Davis, 2024-08-31, 4.7028
David, Davis, 2024-08-30, 7.7083
David, Davis, 2024-08-29, 10.3372
David, Davis, 2024-08-28, 3.1194
David, Davis, 2024-08-27, 7.9064
David, Davis, 2024-08-26, 5.0608
David, Davis, 2024-08-25, 10.3836
David, Davis, 2024-08-24, 12.6025
David, Davis, 2024-08-23, 8.2114
David, Davis, 2024-08-22, 7.7617
David, Davis, 2024-08-21, 6.3486
David, Davis, 2024-08-20, 7.6744
David, Davis, 2024-08-19, 6.1305
David, Davis, 2024-08-18, 1.3250
Jane, Wilson, 2024-08-31, 0.5197
Jane, Wilson, 2024-08-30, 5.8903
Jane, Wilson, 2024-08-29, 1.8744
Jane, Wilson, 2024-08-28, 0.8472
Jane, Wilson, 2024-08-27, 3.3894
Jane, Wilson, 2024-08-26, 3.8964
Jane, Wilson, 2024-08-25, 3.0953
Jane, Wilson, 2024-08-24, 1.0789
Jane, Wilson, 2024-08-23, 3.7006
Jane, Wilson, 2024-08-22, 0.2650
Jane, Wilson, 2024-08-21, 3.4639
Jane, Wilson, 2024-08-20, 2.1208
Jane, Wilson, 2024-08-19, 4.1753
Jane, Wilson, 2024-08-18, 5.9725
Maria, Williams, 2024-08-31, 3.3681
Maria, Williams, 2024-08-30, 2.5797
Maria, Williams, 2024-08-29, 3.3900
Maria, Williams, 2024-08-28, 4.8644
Maria, Williams, 2024-08-27, 5.4486
Maria, Williams, 2024-08-26, 1.9117
Maria, Williams, 2024-08-25, 4.6081
Maria, Williams, 2024-08-24, 3.0314
Maria, Williams, 2024-08-23, 4.0461
Maria, Williams, 2024-08-22, 1.1636
Maria, Williams, 2024-08-21, 3.3156
Maria, Williams, 2024-08-20, 1.8583
Maria, Williams, 2024-08-19, 3.4700
Maria, Williams, 2024-08-18, 0.7822
Florin, Firea, 2024-08-31, 0.7028
Florin, Firea, 2024-08-30, 3.6997
Florin, Firea, 2024-08-29, 2.6764
Florin, Firea, 2024-08-28, 4.4156
Florin, Firea, 2024-08-27, 3.2114
Florin, Firea, 2024-08-26, 4.3186
Florin, Firea, 2024-08-25, 2.0703
Florin, Firea, 2024-08-24, 3.7542
